 Year Tse_N Tse_0 Tse_P Ts_N Ts_0 Ts_P
  1.31667E+01  1.59524E-02  2.48148E-02  5.58333E-02  1.16346E-03 -5.86946E-04 -3.56681E-03
  1.32500E+01  1.60714E-02  2.50000E-02  5.62500E-02  1.22976E-03 -4.96038E-04 -3.45001E-03
  1.33333E+01  1.61905E-02  2.51852E-02  5.66667E-02  1.29878E-03 -4.02677E-04 -3.33092E-03
  1.34167E+01  1.63095E-02  2.53704E-02  5.70833E-02  1.37016E-03 -3.07203E-04 -3.20986E-03
  1.35000E+01  1.64286E-02  2.55556E-02  5.75000E-02  1.44359E-03 -2.09891E-04 -3.08707E-03
  1.35833E+01  1.65476E-02  2.57407E-02  5.79167E-02  1.51883E-03 -1.10969E-04 -2.96278E-03
  1.36667E+01  1.66667E-02  2.59259E-02  5.83333E-02  1.59566E-03 -1.06264E-05 -2.83714E-03
  1.37500E+01  1.67857E-02  2.61111E-02  5.87500E-02  1.67390E-03  9.09731E-05 -2.71031E-03
  1.38333E+01  1.69048E-02  2.62963E-02  5.91667E-02  1.75341E-03  1.93690E-04 -2.58241E-03
  1.39167E+01  1.70238E-02  2.64815E-02  5.95834E-02  1.83404E-03  2.97402E-04 -2.45355E-03
  1.40000E+01  1.71429E-02  2.66667E-02  6.00000E-02  1.91567E-03  4.02004E-04 -2.32383E-03
  1.40833E+01  1.63095E-02  2.53704E-02  5.70833E-02  1.98948E-03  4.98672E-04 -2.20206E-03
  1.41667E+01  1.54762E-02  2.40741E-02  5.41667E-02  2.04742E-03  5.79311E-04 -2.09639E-03
  1.42500E+01  1.46429E-02  2.27778E-02  5.12500E-02  2.09087E-03  6.45218E-04 -2.00562E-03
  1.43333E+01  1.38095E-02  2.14815E-02  4.83333E-02  2.12103E-03  6.97505E-04 -1.92871E-03
  1.44167E+01  1.29762E-02  2.01852E-02  4.54167E-02  2.13886E-03  7.37068E-04 -1.86484E-03
  1.45000E+01  1.21429E-02  1.88889E-02  4.25000E-02  2.14516E-03  7.64652E-04 -1.81332E-03
  1.45833E+01  1.13095E-02  1.75926E-02  3.95833E-02  2.14062E-03  7.80893E-04 -1.77357E-03
  1.46667E+01  1.04762E-02  1.62963E-02  3.66666E-02  2.12581E-03  7.86341E-04 -1.74507E-03
  1.47500E+01  9.64285E-03  1.50000E-02  3.37500E-02  2.10125E-03  7.81480E-04 -1.72740E-03
  1.48333E+01  8.80951E-03  1.37037E-02  3.08333E-02  2.06742E-03  7.66741E-04 -1.72014E-03
  1.49167E+01  7.97618E-03  1.24074E-02  2.79166E-02  2.02471E-03  7.42511E-04 -1.72295E-03
  1.50000E+01  7.14285E-03  1.11111E-02  2.50000E-02  1.97351E-03  7.09141E-04 -1.73550E-03
  1.50833E+01  6.86507E-03  1.06790E-02  2.40277E-02  1.91924E-03  6.72044E-04 -1.75240E-03
  1.51667E+01  6.58729E-03  1.02469E-02  2.30555E-02  1.86686E-03  6.36188E-04 -1.76868E-03
  1.52500E+01  6.30952E-03  9.81480E-03  2.20833E-02  1.81579E-03  6.01046E-04 -1.78483E-03
  1.53333E+01  6.03174E-03  9.38270E-03  2.11111E-02  1.76556E-03  5.66180E-04 -1.80124E-03
  1.54167E+01  5.75396E-03  8.95061E-03  2.01389E-02  1.71582E-03  5.31270E-04 -1.81821E-03
  1.55000E+01  5.47618E-03  8.51851E-03  1.91666E-02  1.66629E-03  4.96067E-04 -1.83597E-03
  1.55833E+01  5.19840E-03  8.08641E-03  1.81944E-02  1.61677E-03  4.60380E-04 -1.85470E-03
  1.56667E+01  4.92063E-03  7.65431E-03  1.72222E-02  1.56708E-03  4.24054E-04 -1.87453E-03
  1.57500E+01  4.64285E-03  7.22221E-03  1.62500E-02  1.51708E-03  3.86967E-04 -1.89558E-03
  1.58333E+01  4.36507E-03  6.79011E-03  1.52777E-02  1.46666E-03  3.49019E-04 -1.91793E-03
  1.59167E+01  4.08729E-03  6.35801E-03  1.43055E-02  1.41573E-03  3.10128E-04 -1.94165E-03
  1.60000E+01  3.80952E-03  5.92592E-03  1.33333E-02  1.36420E-03  2.70226E-04 -1.96681E-03
  1.60833E+01  3.92857E-03  6.11110E-03  1.37500E-02  1.31565E-03  2.32896E-04 -1.98982E-03
  1.61667E+01  4.04762E-03  6.29629E-03  1.41667E-02  1.27335E-03  2.01431E-04 -2.00734E-03
  1.62500E+01  4.16666E-03  6.48148E-03  1.45833E-02  1.23662E-03  1.75222E-04 -2.01995E-03
  1.63333E+01  4.28571E-03  6.66666E-03  1.50000E-02  1.20491E-03  1.53747E-04 -2.02812E-03
  1.64167E+01  4.40476E-03  6.85185E-03  1.54167E-02  1.17776E-03  1.36584E-04 -2.03224E-03
  1.65000E+01  4.52381E-03  7.03703E-03  1.58333E-02  1.15478E-03  1.23380E-04 -2.03262E-03
  1.65833E+01  4.64286E-03  7.22222E-03  1.62500E-02  1.13565E-03  1.13834E-04 -2.02955E-03
  1.66667E+01  4.76191E-03  7.40741E-03  1.66667E-02  1.12007E-03  1.07685E-04 -2.02327E-03
