 lamda  B B_N
  3.24000E+00  3.04431E+11  9.54787E-03
  3.25000E+00  3.01086E+11  9.44295E-03
  3.26000E+00  2.97786E+11  9.33947E-03
  3.27000E+00  2.94531E+11  9.23739E-03
  3.28000E+00  2.91321E+11  9.13669E-03
  3.29000E+00  2.88153E+11  9.03735E-03
  3.30000E+00  2.85029E+11  8.93935E-03
  3.31000E+00  2.81946E+11  8.84267E-03
  3.32000E+00  2.78905E+11  8.74729E-03
  3.33000E+00  2.75904E+11  8.65319E-03
  3.34000E+00  2.72944E+11  8.56033E-03
  3.35000E+00  2.70023E+11  8.46872E-03
  3.36000E+00  2.67140E+11  8.37832E-03
  3.37000E+00  2.64296E+11  8.28912E-03
  3.38000E+00  2.61490E+11  8.20109E-03
  3.39000E+00  2.58720E+11  8.11423E-03
  3.40000E+00  2.55987E+11  8.02851E-03
  3.41000E+00  2.53289E+11  7.94391E-03
  3.42000E+00  2.50627E+11  7.86042E-03
  3.43000E+00  2.48000E+11  7.77801E-03
  3.44000E+00  2.45407E+11  7.69668E-03
  3.45000E+00  2.42847E+11  7.61641E-03
  3.46000E+00  2.40320E+11  7.53717E-03
  3.47000E+00  2.37827E+11  7.45895E-03
  3.48000E+00  2.35365E+11  7.38174E-03
  3.49000E+00  2.32935E+11  7.30553E-03
  3.50000E+00  2.30536E+11  7.23029E-03
  3.51000E+00  2.28167E+11  7.15601E-03
  3.52000E+00  2.25829E+11  7.08268E-03
  3.53000E+00  2.23521E+11  7.01029E-03
  3.54000E+00  2.21242E+11  6.93881E-03
  3.55000E+00  2.18992E+11  6.86823E-03
  3.56000E+00  2.16770E+11  6.79855E-03
  3.57000E+00  2.14576E+11  6.72975E-03
  3.58000E+00  2.12410E+11  6.66180E-03
  3.59000E+00  2.10271E+11  6.59472E-03
  3.60000E+00  2.08158E+11  6.52847E-03
  3.61000E+00  2.06072E+11  6.46304E-03
  3.62000E+00  2.04012E+11  6.39843E-03
  3.63000E+00  2.01978E+11  6.33463E-03
  3.64000E+00  1.99968E+11  6.27161E-03
  3.65000E+00  1.97984E+11  6.20937E-03
  3.66000E+00  1.96024E+11  6.14790E-03
  3.67000E+00  1.94088E+11  6.08718E-03
  3.68000E+00  1.92176E+11  6.02721E-03
  3.69000E+00  1.90287E+11  5.96797E-03
  3.70000E+00  1.88421E+11  5.90946E-03
  3.71000E+00  1.86578E+11  5.85165E-03
  3.72000E+00  1.84758E+11  5.79455E-03
  3.73000E+00  1.82959E+11  5.73815E-03
  3.74000E+00  1.81182E+11  5.68242E-03
  3.75000E+00  1.79427E+11  5.62736E-03
  3.76000E+00  1.77693E+11  5.57297E-03
  3.77000E+00  1.75979E+11  5.51924E-03
  3.78000E+00  1.74286E+11  5.46614E-03
  3.79000E+00  1.72614E+11  5.41368E-03
  3.80000E+00  1.70961E+11  5.36185E-03
  3.81000E+00  1.69328E+11  5.31063E-03
  3.82000E+00  1.67714E+11  5.26002E-03
  3.83000E+00  1.66120E+11  5.21001E-03
  3.84000E+00  1.64544E+11  5.16059E-03
  3.85000E+00  1.62987E+11  5.11175E-03
  3.86000E+00  1.61448E+11  5.06349E-03
  3.87000E+00  1.59927E+11  5.01579E-03
  3.88000E+00  1.58424E+11  4.96865E-03
  3.89000E+00  1.56939E+11  4.92207E-03
  3.90000E+00  1.55471E+11  4.87602E-03
  3.91000E+00  1.54020E+11  4.83051E-03
  3.92000E+00  1.52585E+11  4.78553E-03
  3.93000E+00  1.51168E+11  4.74107E-03
  3.94000E+00  1.49766E+11  4.69712E-03
  3.95000E+00  1.48381E+11  4.65368E-03
  3.96000E+00  1.47012E+11  4.61073E-03
  3.97000E+00  1.45658E+11  4.56828E-03
  3.98000E+00  1.44320E+11  4.52632E-03
  3.99000E+00  1.42998E+11  4.48483E-03
  4.00000E+00  1.41690E+11  4.44382E-03
  4.01000E+00  1.40397E+11  4.40328E-03
